,시험명,전체,국어,영어,수학,과학,사회,역사,평균
350,AI진단평가,341,100.0,75.0,36.0,82.0,48.0,,68.2
351,AI진단평가,154,65.0,65.0,9.0,15.0,0.0,,30.8
352,AI진단평가,54,54.0,0.0,0.0,0.0,0.0,,10.8
353,AI진단평가,371,100.0,93.0,88.0,,90.0,,92.75
354,AI진단평가,308,79.0,29.0,68.0,53.0,79.0,,61.6
355,AI진단평가,330,86.0,100.0,43.0,53.0,48.0,,66.0
356,AI진단평가,481,100.0,93.0,94.0,71.0,100.0,23.0,80.16666666666667
357,AI진단평가,263,79.0,0.0,37.0,30.0,56.0,61.0,43.833333333333336
358,AI진단평가,186,86.0,100.0,0.0,0.0,0.0,,37.2
359,AI진단평가,361,68.0,58.0,69.0,61.0,90.0,15.0,60.16666666666666
360,AI진단평가,383,79.0,61.0,77.0,67.0,61.0,38.0,63.833333333333336
361,AI진단평가,322,100.0,79.0,49.0,15.0,79.0,,64.4
362,AI진단평가,329,100.0,93.0,60.0,30.0,46.0,,65.8
363,AI진단평가,252,63.0,63.0,63.0,,63.0,,63.0
364,AI진단평가,305,100.0,18.0,71.0,45.0,71.0,,61.0
365,AI진단평가,383,86.0,68.0,83.0,56.0,90.0,,76.6
366,AI진단평가,418,93.0,100.0,76.0,82.0,67.0,,83.6
367,AI진단평가,348,93.0,93.0,71.0,61.0,30.0,,69.6
368,AI진단평가,357,100.0,100.0,57.0,,100.0,,89.25
369,AI진단평가,241,93.0,72.0,46.0,,30.0,,60.25
370,AI진단평가,393,93.0,54.0,51.0,67.0,67.0,61.0,65.5
371,AI진단평가,543,86.0,100.0,100.0,100.0,90.0,67.0,90.5
372,AI진단평가,432,100.0,79.0,82.0,71.0,100.0,,86.4
373,AI진단평가,335,93.0,54.0,88.0,,100.0,,83.75
374,AI진단평가,351,100.0,86.0,94.0,0.0,71.0,,70.2
375,AI진단평가,198,40.0,18.0,32.0,45.0,63.0,,39.6
